id,season,lg,team,abbreviation,playoffs,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss
25,2024,NBA,Sacramento Kings,SAC,FALSE,82,19855,43.5,91.2,0.477,14.4,39.4,0.366,29,51.8,0.561,15.6,20.9,0.745,10.9,33.3,44.1,28.4,7.6,4.2,13.2,20,116.9
26,2024,NBA,San Antonio Spurs,SAS,FALSE,82,19830,41.2,89,0.462,12.4,35.7,0.347,28.8,53.3,0.539,15.3,19.6,0.782,10.2,33.3,43.4,29.3,7,6.2,14.9,16.9,110
27,2024,NBA,Toronto Raptors,TOR,FALSE,82,19805,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.6,28.5,7.7,4.7,14,18.4,112.3
28,2024,NBA,Utah Jazz,UTA,FALSE,82,19805,41.9,89.8,0.467,12.9,36.5,0.354,29,53.3,0.544,18.7,22.6,0.83,12.2,33.2,45.4,27.2,6.5,5.6,15.7,18.6,115.5
29,2024,NBA,Washington Wizards,WAS,FALSE,82,19730,41.7,88.8,0.47,12,34.5,0.348,29.7,54.2,0.548,15,19.6,0.764,8.9,31,39.9,27.1,7.4,4.9,13.6,19.4,110.5
30,2023,NBA,Atlanta Hawks,ATL,FALSE,82,19855,43.9,90.9,0.483,10.6,30.1,0.352,33.3,60.9,0.548,18.2,22.2,0.818,11,32.6,43.7,24.6,7,4.8,12.7,18.5,116.6
31,2023,NBA,Boston Celtics,BOS,FALSE,82,19980,42.2,88.8,0.475,16,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118
32,2023,NBA,Brooklyn Nets,BRK,FALSE,82,19730,42,86.3,0.487,13,34.3,0.378,29.1,52,0.559,17.9,22.4,0.8,8.3,32.8,41.1,25.9,7.2,6.3,13.9,21.4,115
33,2023,NBA,Chicago Bulls,CHI,FALSE,82,19905,42.7,87.1,0.49,10.4,29,0.361,32.2,58.1,0.555,17.7,21.9,0.809,8.5,34,42.5,24.5,7.9,4.5,13.4,19,113.5
34,2023,NBA,Charlotte Hornets,CHO,FALSE,82,19830,40.6,89,0.457,10.6,32,0.33,30.1,56.9,0.528,17.4,23.2,0.749,10.8,33,43.8,24.7,7.6,5.1,14,19.9,109.2
35,2023,NBA,Cleveland Cavaliers,CLE,FALSE,82,19880,43,88.1,0.488,12,32.7,0.367,31,55.4,0.559,18.2,23.3,0.78,10,32.5,42.5,25.8,7.4,4.8,13.8,19.7,116.1
36,2023,NBA,Dallas Mavericks,DAL,FALSE,82,19930,40.9,86.2,0.475,15.5,41.9,0.371,25.4,44.2,0.574,19.4,25.7,0.755,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,116.8
37,2023,NBA,Denver Nuggets,DEN,FALSE,82,19755,44.2,87.8,0.504,12,31.7,0.379,32.3,56.1,0.575,17.1,22.7,0.751,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,117.6
38,2023,NBA,Detroit Pistons,DET,FALSE,82,19805,39.7,87.4,0.454,11.4,32.5,0.351,28.3,54.8,0.516,19.9,25.8,0.771,11.2,31.4,42.6,23.1,7,3.8,15.1,22.2,110.7
39,2023,NBA,Golden State Warriors,GSW,FALSE,82,19830,42.1,88,0.479,16.2,42.2,0.385,25.9,45.9,0.564,15.6,19.7,0.794,10.3,33.3,43.6,29.1,7,3.8,15.9,20.9,116.1
